x,y,width,height,attempt,log_attempt,made,miss,made2,made3,miss2,miss3
60,0,1,1,1,0.0,1,0,0,1,0,0
65,0,1,1,1,0.0,0,1,0,0,0,1
37,2,1,1,1,0.0,1,0,0,1,0,0
51,2,1,1,1,0.0,0,1,0,0,0,1
93,2,1,1,1,0.0,1,0,0,1,0,0
26,3,1,1,1,0.0,0,1,0,0,0,1
50,3,1,1,1,0.0,1,0,0,1,0,0
58,3,1,1,1,0.0,0,1,0,0,0,1
54,4,1,1,1,0.0,1,0,0,1,0,0
73,4,1,1,1,0.0,1,0,0,1,0,0
89,4,1,1,1,0.0,0,1,0,0,0,1
91,4,1,1,1,0.0,0,1,0,0,0,1
16,5,1,1,1,0.0,1,0,0,1,0,0
28,5,1,1,1,0.0,0,1,0,0,0,1
29,5,1,1,1,0.0,0,1,0,0,0,1
49,5,1,1,1,0.0,1,0,0,1,0,0
71,5,1,1,1,0.0,0,1,0,0,0,1
90,5,1,1,1,0.0,0,1,0,0,0,1
45,6,1,1,1,0.0,0,1,0,0,0,1
52,6,1,1,1,0.0,0,1,0,0,0,1
54,6,1,1,1,0.0,0,1,0,0,0,1
59,6,1,1,1,0.0,0,1,0,0,0,1
47,7,1,1,1,0.0,0,1,0,0,0,1
50,7,1,1,1,0.0,0,1,0,0,0,1
99,7,1,1,1,0.0,0,1,0,0,0,1
10,8,1,1,1,0.0,0,1,0,0,0,1
15,8,1,1,1,0.0,0,1,0,0,0,1
18,8,1,1,1,0.0,0,1,0,0,0,1
50,8,1,1,1,0.0,0,1,0,0,0,1
41,9,1,1,1,0.0,0,1,0,0,0,1
50,9,1,1,1,0.0,0,1,0,0,0,1
75,9,1,1,1,0.0,0,1,0,0,0,1
24,10,1,1,1,0.0,0,1,0,0,0,1
45,10,1,1,1,0.0,0,1,0,0,0,1
77,10,1,1,1,0.0,1,0,0,1,0,0
90,10,1,1,1,0.0,0,1,0,0,0,1
55,11,1,1,1,0.0,0,1,0,0,0,1
27,12,1,1,2,0.3010299956639812,0,2,0,0,0,2
32,12,1,1,1,0.0,1,0,0,1,0,0
35,12,1,1,1,0.0,0,1,0,0,0,1
81,12,1,1,1,0.0,0,1,0,0,0,1
84,12,1,1,2,0.3010299956639812,0,2,0,0,0,2
88,12,1,1,1,0.0,0,1,0,0,0,1
95,12,1,1,1,0.0,0,1,0,0,0,1
16,13,1,1,1,0.0,0,1,0,0,0,1
30,13,1,1,1,0.0,0,1,0,0,0,1
67,13,1,1,1,0.0,0,1,0,0,0,1
89,13,1,1,1,0.0,0,1,0,0,0,1
50,14,1,1,1,0.0,0,1,0,0,0,1
51,14,1,1,2,0.3010299956639812,1,1,0,1,0,1
53,14,1,1,1,0.0,1,0,0,1,0,0
59,14,1,1,1,0.0,1,0,0,1,0,0
60,14,1,1,1,0.0,0,1,0,0,0,1
78,14,1,1,1,0.0,0,1,0,0,0,1
83,14,1,1,1,0.0,0,1,0,0,0,1
85,14,1,1,1,0.0,0,1,0,0,0,1
94,14,1,1,1,0.0,1,0,0,1,0,0
25,15,1,1,1,0.0,0,1,0,0,0,1
49,15,1,1,1,0.0,0,1,0,0,0,1
52,15,1,1,1,0.0,0,1,0,0,0,1
53,15,1,1,1,0.0,1,0,0,1,0,0
55,15,1,1,1,0.0,0,1,0,0,0,1
16,16,1,1,1,0.0,0,1,0,0,0,1
46,16,1,1,2,0.3010299956639812,1,1,0,1,0,1
47,16,1,1,1,0.0,1,0,0,1,0,0
49,16,1,1,1,0.0,0,1,0,0,0,1
51,16,1,1,1,0.0,0,1,0,0,0,1
